Date,mean,lower,upper
2025-07-31 00:00:00-04:00,316.57532,293.3105,337.251
2025-08-01 00:00:00-04:00,314.45966,284.0185,337.41653
2025-08-04 00:00:00-04:00,313.3758,281.31888,342.55658
2025-08-05 00:00:00-04:00,311.8567,277.20264,344.82825
2025-08-06 00:00:00-04:00,310.92212,270.53076,352.95456
2025-08-07 00:00:00-04:00,309.77432,269.34723,354.6625
2025-08-08 00:00:00-04:00,307.78503,257.02338,356.48904
2025-08-11 00:00:00-04:00,307.2409,254.30344,364.08923
2025-08-12 00:00:00-04:00,306.91403,254.84195,367.54987
2025-08-13 00:00:00-04:00,306.14746,256.0842,357.55197
2025-08-14 00:00:00-04:00,305.4443,246.66298,367.1553
2025-08-15 00:00:00-04:00,303.77206,241.37923,365.78827
2025-08-18 00:00:00-04:00,301.96133,244.08253,367.1288
2025-08-19 00:00:00-04:00,301.2886,243.84666,363.0465
2025-08-20 00:00:00-04:00,299.89188,243.84138,364.4102
2025-08-21 00:00:00-04:00,299.5096,242.77252,363.94296
2025-08-22 00:00:00-04:00,297.0194,236.68018,355.7086
2025-08-25 00:00:00-04:00,296.7571,233.40176,354.6976
2025-08-26 00:00:00-04:00,295.36215,234.4904,359.35275
2025-08-27 00:00:00-04:00,295.77863,235.22722,365.64017
2025-08-28 00:00:00-04:00,293.9589,232.21283,364.9625
2025-08-29 00:00:00-04:00,293.3295,229.06247,364.46887
2025-09-01 00:00:00-04:00,292.0827,235.06863,361.92166
2025-09-02 00:00:00-04:00,291.48932,232.97285,358.8137
2025-09-03 00:00:00-04:00,290.12823,230.14218,350.44
2025-09-04 00:00:00-04:00,289.2953,230.00768,351.4403
2025-09-05 00:00:00-04:00,288.50476,225.34283,351.71304
2025-09-08 00:00:00-04:00,287.528,229.2746,344.12802
2025-09-09 00:00:00-04:00,286.98846,227.98097,344.06107
2025-09-10 00:00:00-04:00,286.13266,225.33305,345.85068
2025-09-11 00:00:00-04:00,284.4463,230.5177,347.91507
2025-09-12 00:00:00-04:00,284.28726,224.80907,352.3811
2025-09-15 00:00:00-04:00,283.01474,226.41202,348.7724
2025-09-16 00:00:00-04:00,282.99304,226.19388,359.24875
2025-09-17 00:00:00-04:00,281.86694,223.57845,358.3749
2025-09-18 00:00:00-04:00,282.56094,224.86705,351.57455
2025-09-19 00:00:00-04:00,281.9715,221.62604,355.0875
2025-09-22 00:00:00-04:00,281.31595,220.82681,356.53647
2025-09-23 00:00:00-04:00,280.21985,218.78152,352.81848
2025-09-24 00:00:00-04:00,278.50333,217.24135,353.00107
2025-09-25 00:00:00-04:00,278.35974,217.16095,347.6718
2025-09-26 00:00:00-04:00,278.27133,210.0434,344.58322
2025-09-29 00:00:00-04:00,276.39798,212.92522,355.6179
2025-09-30 00:00:00-04:00,275.73245,215.37134,354.00104
2025-10-01 00:00:00-04:00,274.85202,214.42628,345.13602
2025-10-02 00:00:00-04:00,275.34354,212.46259,345.35715
2025-10-03 00:00:00-04:00,274.77264,216.90756,344.64883
2025-10-06 00:00:00-04:00,274.88196,216.7616,340.09158
2025-10-07 00:00:00-04:00,274.8344,218.25415,342.42276
2025-10-08 00:00:00-04:00,272.8097,217.76416,344.22043
2025-10-09 00:00:00-04:00,272.9621,216.10202,347.96005
2025-10-10 00:00:00-04:00,271.55487,213.74434,345.69086
2025-10-13 00:00:00-04:00,272.3001,210.82578,344.83206
2025-10-14 00:00:00-04:00,272.09222,211.9823,344.29733
2025-10-15 00:00:00-04:00,272.6139,213.4506,347.0822
2025-10-16 00:00:00-04:00,272.70886,209.39505,341.63644
